priority,source,family,dataset,role,current_evidence_tier,quantile_grid_levels_seen,calibration_windows,test_windows,total_windows,needs_q9_fullgrid_rerun,needs_history_context_export,reason,recommended_action
P0,moirai2_loop_m8_loop_seattle_short_seasonal_naive,moirai,LOOP_SEATTLE/H/short,positive_control,q3_interval_proxy,3,4,4,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets,moirai,covid_deaths/D/short,failure_target,q3_interval_proxy,3,3,5,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets,moirai,covid_deaths/D/short,failure_target,q3_interval_proxy,3,5,3,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,moirai_1_1_small_scaling_covid_deaths_d_short_auto_ets,moirai,covid_deaths/D/short,failure_target,q3_interval_proxy,3,4,4,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,moirai_1_1_base_scaling_loop_seattle_h_short_seasonal_naive,moirai,loop_seattle/H/short,positive_control,q3_interval_proxy,3,5,3,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,moirai_1_1_large_scaling_loop_seattle_h_short_seasonal_naive,moirai,loop_seattle/H/short,positive_control,q3_interval_proxy,3,6,2,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,moirai_1_1_small_scaling_loop_seattle_h_short_seasonal_naive,moirai,loop_seattle/H/short,positive_control,q3_interval_proxy,3,4,4,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,timesfm_2_5_finance_fred_finance_fred_stress,timesfm,FRED finance stress seed,stress_target,q3_interval_proxy,3,28,28,56,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
P0,timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,timesfm,LOOP_SEATTLE/H/short,positive_control,q3_interval_proxy,3,17,15,32,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
P0,timesfm_2_5_loop_m8_loop_seattle_short_seasonal_naive,timesfm,LOOP_SEATTLE/H/short,positive_control,q3_interval_proxy,3,2,6,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
P0,timesfm_2_5_bizitobs_m30_bizitobs_application_short_auto_arima,timesfm,bizitobs_application/10S/short,stress_target,q3_interval_proxy,3,14,16,30,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
P0,timesfm_2_5_bizitobs_m8_bizitobs_application_short_auto_arima,timesfm,bizitobs_application/10S/short,stress_target,q3_interval_proxy,3,0,2,2,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
P0,timesfm_2_5_m128_covid_deaths_short_auto_ets,timesfm,covid_deaths/D/short,failure_target,q3_interval_proxy,3,60,68,128,1,0,probabilistic result is q3/proxy rather than native q9/full-grid,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
P0,timesfm_2_5_m16_covid_deaths_short_auto_ets,timesfm,covid_deaths/D/short,failure_target,q3_interval_proxy,3,7,9,16,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
P0,timesfm_2_5_m64_covid_deaths_short_auto_ets,timesfm,covid_deaths/D/short,failure_target,q3_interval_proxy,3,34,30,64,1,0,probabilistic result is q3/proxy rather than native q9/full-grid,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
P0,timesfm_2_5_m8_covid_deaths_short_auto_ets,timesfm,covid_deaths/D/short,failure_target,q3_interval_proxy,3,2,6,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
P0,timesfm_2_5_solar_m8_solar_short_seasonal_naive,timesfm,solar/10T/short,positive_control,q3_interval_proxy,3,1,7,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
P1,moirai2_fullgrid_ctx1680_solar_m16_solar_short_seasonal_naive,moirai,solar/10T/short,positive_control,q9_fullgrid,9,10,6,16,0,0,non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,keep as current-suite evidence; broaden with new domains if compute is available
P2,chronos_bolt_base_fullgrid9_scaling_covid_deaths_d_short_auto_ets,chronos,covid_deaths/D/short,failure_target,q9_fullgrid,9,35,29,64,0,0,current source is usable as current-suite evidence,keep as current-suite evidence; broaden with new domains if compute is available
P2,chronos_bolt_mini_fullgrid9_scaling_covid_deaths_d_short_auto_ets,chronos,covid_deaths/D/short,failure_target,q9_fullgrid,9,32,32,64,0,0,current source is usable as current-suite evidence,keep as current-suite evidence; broaden with new domains if compute is available
P2,chronos_bolt_small_fullgrid9_scaling_covid_deaths_d_short_auto_ets,chronos,covid_deaths/D/short,failure_target,q9_fullgrid,9,36,28,64,0,0,current source is usable as current-suite evidence,keep as current-suite evidence; broaden with new domains if compute is available
P2,chronos_bolt_tiny_fullgrid9_scaling_covid_deaths_d_short_auto_ets,chronos,covid_deaths/D/short,failure_target,q9_fullgrid,9,34,30,64,0,0,current source is usable as current-suite evidence,keep as current-suite evidence; broaden with new domains if compute is available
P2,chronos_bolt_base_fullgrid9_scaling_solar_10t_short_seasonal_naive,chronos,solar/10T/short,positive_control,q9_fullgrid,9,34,30,64,0,0,current source is usable as current-suite evidence,keep as current-suite evidence; broaden with new domains if compute is available
P2,chronos_bolt_mini_fullgrid9_scaling_solar_10t_short_seasonal_naive,chronos,solar/10T/short,positive_control,q9_fullgrid,9,38,26,64,0,0,current source is usable as current-suite evidence,keep as current-suite evidence; broaden with new domains if compute is available
P2,chronos_bolt_small_fullgrid9_scaling_solar_10t_short_seasonal_naive,chronos,solar/10T/short,positive_control,q9_fullgrid,9,32,32,64,0,0,current source is usable as current-suite evidence,keep as current-suite evidence; broaden with new domains if compute is available
P2,chronos_bolt_tiny_fullgrid9_scaling_solar_10t_short_seasonal_naive,chronos,solar/10T/short,positive_control,q9_fullgrid,9,31,33,64,0,0,current source is usable as current-suite evidence,keep as current-suite evidence; broaden with new domains if compute is available
P2,moirai2_fullgrid_ctx1680_m12_covid_deaths_short_auto_ets,moirai,covid_deaths/D/short,failure_target,q9_fullgrid,9,7,5,12,0,0,non-Chronos slice is small relative to the clean Chronos 64-window blocks,keep as current-suite evidence; broaden with new domains if compute is available
P2,moirai2_fullgrid_ctx1680_m64_covid_deaths_short_auto_ets,moirai,covid_deaths/D/short,failure_target,q9_fullgrid,9,31,33,64,0,0,current source is usable as current-suite evidence,keep as current-suite evidence; broaden with new domains if compute is available
P2,moirai2_fullgrid_ctx1680_solar_m64_solar_short_seasonal_naive,moirai,solar/10T/short,positive_control,q9_fullgrid,9,32,32,64,0,0,protected/safety evidence is less balanced outside Chronos,keep as current-suite evidence; broaden with new domains if compute is available
