family,model,dataset,role,evidence_tier,baseline_mode,baseline_protocol,windows,series,forecast_points,model_mae,baseline_mae,model_rmse,baseline_rmse,relmae,relrmse,avg_relmae,avg_relmae_status,avg_relmae_valid_series,zero_baseline_mae_series,zero_model_mae_series,mean_mase,mase_valid_windows,mase_undefined_windows,percent_better_mae,percent_tied_mae,series_wins,series_losses,series_ties,sign_test_pvalue,sign_test_bh_qvalue,q9_wql,q10_q90_coverage,q10_q90_coverage_abs_error,quantile_crossing_points,outer_interval_reversal_points,raw_forecast_path,history_sidecar_path,window_metrics_path,rerun_slug
moirai,moirai_1_1_base,covid_deaths/D/short,failure_target,q9_fullgrid,auto_ets,frozen_command_baseline,8,8,240,139.36,112.428,380.022,302.572,1.23955,1.25597,,undefined_nonpositive_series_mae,7,1,0,44.1831,8,0,25,0,2,6,0,0.2890625,0.35100446,0.11334,0.525,0.275,0,0,results/raw_forecasts/moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun.csv,results/raw_forecasts/moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_history_context.csv,results/window_metrics/moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_metrics.csv,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun
moirai,moirai_1_1_large,covid_deaths/D/short,failure_target,q9_fullgrid,auto_ets,frozen_command_baseline,8,8,240,178.361,112.428,494.097,302.572,1.58645,1.63299,,undefined_nonpositive_series_mae,7,1,0,41.8467,8,0,12.5,0,1,7,0,0.0703125,0.099609375,0.148206,0.608333,0.191667,0,0,results/raw_forecasts/moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun.csv,results/raw_forecasts/moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_history_context.csv,results/window_metrics/moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_metrics.csv,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun
moirai,moirai_1_1_small,covid_deaths/D/short,failure_target,q9_fullgrid,auto_ets,frozen_command_baseline,8,8,240,198.548,112.428,564.89,302.572,1.766,1.86696,,undefined_nonpositive_series_mae,7,1,0,48.4092,8,0,25,0,2,6,0,0.2890625,0.35100446,0.16661,0.695833,0.104167,0,0,results/raw_forecasts/moirai_1_1_small_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun.csv,results/raw_forecasts/moirai_1_1_small_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_history_context.csv,results/window_metrics/moirai_1_1_small_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun_metrics.csv,moirai_1_1_small_scaling_covid_deaths_d_short_auto_ets_oral_sidecar_rerun
timesfm,timesfm_2_5_m128,covid_deaths/D/short,failure_target,q9_fullgrid,auto_ets,frozen_command_baseline,128,128,3840,60.5974,44.6212,335.099,223.701,1.35804,1.49798,,undefined_nonpositive_series_mae,77,44,40,29.9455,107,21,23.4375,26.5625,30,64,34,0.00058790223,0.003331446,0.0293116,0.784115,0.0158854,0,0,results/raw_forecasts/timesfm_2_5_m128_covid_deaths_short_auto_ets_oral_sidecar_rerun.csv,results/raw_forecasts/timesfm_2_5_m128_covid_deaths_short_auto_ets_oral_sidecar_rerun_history_context.csv,results/window_metrics/timesfm_2_5_m128_covid_deaths_short_auto_ets_oral_sidecar_rerun_metrics.csv,timesfm_2_5_m128_covid_deaths_short_auto_ets_oral_sidecar_rerun
timesfm,timesfm_2_5_m16,covid_deaths/D/short,failure_target,q9_fullgrid,auto_ets,frozen_command_baseline,16,16,480,79.6775,63.7487,268.624,217.134,1.24987,1.23714,,undefined_nonpositive_series_mae,12,4,1,63.1557,15,1,12.5,6.25,2,13,1,0.0073852539,0.014756944,0.130054,0.695833,0.104167,0,0,results/raw_forecasts/timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun.csv,results/raw_forecasts/timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun_history_context.csv,results/window_metrics/timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun_metrics.csv,timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun
timesfm,timesfm_2_5_m64,covid_deaths/D/short,failure_target,q9_fullgrid,auto_ets,frozen_command_baseline,64,64,1920,89.2556,52.7334,448.783,234.408,1.69258,1.91454,,undefined_nonpositive_series_mae,43,19,13,27.5433,58,6,21.875,17.1875,14,39,11,0.00080233089,0.0034099063,0.0309266,0.771354,0.0286458,0,0,results/raw_forecasts/timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun.csv,results/raw_forecasts/timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun_history_context.csv,results/window_metrics/timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun_metrics.csv,timesfm_2_5_m64_covid_deaths_short_auto_ets_oral_sidecar_rerun
timesfm,timesfm_2_5_m8,covid_deaths/D/short,failure_target,q9_fullgrid,auto_ets,frozen_command_baseline,8,8,240,140.986,112.428,374.553,302.572,1.25401,1.2379,,undefined_nonpositive_series_mae,7,1,0,42.8281,8,0,12.5,0,1,7,0,0.0703125,0.099609375,0.116988,0.6,0.2,0,0,results/raw_forecasts/timesfm_2_5_m8_covid_deaths_short_auto_ets_oral_sidecar_rerun.csv,results/raw_forecasts/timesfm_2_5_m8_covid_deaths_short_auto_ets_oral_sidecar_rerun_history_context.csv,results/window_metrics/timesfm_2_5_m8_covid_deaths_short_auto_ets_oral_sidecar_rerun_metrics.csv,timesfm_2_5_m8_covid_deaths_short_auto_ets_oral_sidecar_rerun
moirai,moirai2_loop_m8,loop_seattle/H/short,positive_control,q9_fullgrid,seasonal_naive,frozen_command_baseline,8,8,384,3.50141,9.98296,5.7714,15.8579,0.350739,0.363945,0.348926,defined,8,0,0,0.508837,8,0,100,0,8,0,0,0.0078125,0.014756944,0.0538946,0.664062,0.135938,1,0,results/raw_forecasts/moirai2_loop_m8_loop_seattle_short_seasonal_naive_oral_sidecar_rerun.csv,results/raw_forecasts/moirai2_loop_m8_loop_seattle_short_seasonal_naive_oral_sidecar_rerun_history_context.csv,results/window_metrics/moirai2_loop_m8_loop_seattle_short_seasonal_naive_oral_sidecar_rerun_metrics.csv,moirai2_loop_m8_loop_seattle_short_seasonal_naive_oral_sidecar_rerun
moirai,moirai_1_1_base,loop_seattle/H/short,positive_control,q9_fullgrid,seasonal_naive,frozen_command_baseline,8,8,384,5.60021,9.98296,9.62302,15.8579,0.560977,0.606829,0.540267,defined,8,0,0,0.813174,8,0,100,0,8,0,0,0.0078125,0.014756944,0.086041,0.84375,0.04375,0,0,results/raw_forecasts/moirai_1_1_base_scaling_loop_seattle_h_short_seasonal_naive_oral_sidecar_rerun.csv,results/raw_forecasts/moirai_1_1_base_scaling_loop_seattle_h_short_seasonal_naive_oral_sidecar_rerun_history_context.csv,results/window_metrics/moirai_1_1_base_scaling_loop_seattle_h_short_seasonal_naive_oral_sidecar_rerun_metrics.csv,moirai_1_1_base_scaling_loop_seattle_h_short_seasonal_naive_oral_sidecar_rerun
moirai,moirai_1_1_large,loop_seattle/H/short,positive_control,q9_fullgrid,seasonal_naive,frozen_command_baseline,8,8,384,4.10608,9.98296,7.46641,15.8579,0.411308,0.470833,0.39012,defined,8,0,0,0.591884,8,0,100,0,8,0,0,0.0078125,0.014756944,0.0632192,0.768229,0.0317708,0,0,results/raw_forecasts/moirai_1_1_large_scaling_loop_seattle_h_short_seasonal_naive_oral_sidecar_rerun.csv,results/raw_forecasts/moirai_1_1_large_scaling_loop_seattle_h_short_seasonal_naive_oral_sidecar_rerun_history_context.csv,results/window_metrics/moirai_1_1_large_scaling_loop_seattle_h_short_seasonal_naive_oral_sidecar_rerun_metrics.csv,moirai_1_1_large_scaling_loop_seattle_h_short_seasonal_naive_oral_sidecar_rerun
moirai,moirai_1_1_small,loop_seattle/H/short,positive_control,q9_fullgrid,seasonal_naive,frozen_command_baseline,8,8,384,7.78209,9.98296,13.0455,15.8579,0.779537,0.822653,0.760837,defined,8,0,0,1.12185,8,0,87.5,0,7,1,0,0.0703125,0.099609375,0.123758,0.791667,0.00833333,0,0,results/raw_forecasts/moirai_1_1_small_scaling_loop_seattle_h_short_seasonal_naive_oral_sidecar_rerun.csv,results/raw_forecasts/moirai_1_1_small_scaling_loop_seattle_h_short_seasonal_naive_oral_sidecar_rerun_history_context.csv,results/window_metrics/moirai_1_1_small_scaling_loop_seattle_h_short_seasonal_naive_oral_sidecar_rerun_metrics.csv,moirai_1_1_small_scaling_loop_seattle_h_short_seasonal_naive_oral_sidecar_rerun
timesfm,timesfm_2_5_loop_m32,loop_seattle/H/short,positive_control,q9_fullgrid,seasonal_naive,frozen_command_baseline,32,32,1536,3.91763,8.69966,6.46358,13.4313,0.45032,0.481233,0.430493,defined,32,0,0,0.623484,32,0,100,0,32,0,0,4.6566129e-10,7.9162419e-09,0.0578196,0.821615,0.0216146,0,0,results/raw_forecasts/timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive_oral_sidecar_rerun.csv,results/raw_forecasts/timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive_oral_sidecar_rerun_history_context.csv,results/window_metrics/timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive_oral_sidecar_rerun_metrics.csv,timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive_oral_sidecar_rerun
timesfm,timesfm_2_5_loop_m8,loop_seattle/H/short,positive_control,q9_fullgrid,seasonal_naive,frozen_command_baseline,8,8,384,4.86406,9.98296,7.75657,15.8579,0.487236,0.48913,0.476731,defined,8,0,0,0.702953,8,0,100,0,8,0,0,0.0078125,0.014756944,0.0744416,0.802083,0.00208333,0,0,results/raw_forecasts/timesfm_2_5_loop_m8_loop_seattle_short_seasonal_naive_oral_sidecar_rerun.csv,results/raw_forecasts/timesfm_2_5_loop_m8_loop_seattle_short_seasonal_naive_oral_sidecar_rerun_history_context.csv,results/window_metrics/timesfm_2_5_loop_m8_loop_seattle_short_seasonal_naive_oral_sidecar_rerun_metrics.csv,timesfm_2_5_loop_m8_loop_seattle_short_seasonal_naive_oral_sidecar_rerun
timesfm,timesfm_2_5_solar_m8,solar/10T/short,positive_control,q9_fullgrid,seasonal_naive,frozen_command_baseline,8,8,384,9.22633,11.3625,12.6712,17.1701,0.811998,0.737979,1.01299,defined,8,0,0,0.555277,8,0,62.5,0,5,3,0,0.7265625,0.77197266,0.642707,0.635417,0.164583,0,0,results/raw_forecasts/timesfm_2_5_solar_m8_solar_short_seasonal_naive_oral_sidecar_rerun.csv,results/raw_forecasts/timesfm_2_5_solar_m8_solar_short_seasonal_naive_oral_sidecar_rerun_history_context.csv,results/window_metrics/timesfm_2_5_solar_m8_solar_short_seasonal_naive_oral_sidecar_rerun_metrics.csv,timesfm_2_5_solar_m8_solar_short_seasonal_naive_oral_sidecar_rerun
timesfm,timesfm_2_5_bizitobs_m30,bizitobs_application/10S/short,stress_target,q9_fullgrid,auto_arima,frozen_command_baseline,30,2,1800,949.879,1657.68,2685.06,3910.64,0.573018,0.686603,0.559827,defined,2,0,0,9.31903,30,0,100,0,2,0,0,0.5,0.56666667,0.0302251,0.763889,0.0361111,0,0,results/raw_forecasts/timesfm_2_5_bizitobs_m30_bizitobs_application_short_auto_arima_oral_sidecar_rerun.csv,results/raw_forecasts/timesfm_2_5_bizitobs_m30_bizitobs_application_short_auto_arima_oral_sidecar_rerun_history_context.csv,results/window_metrics/timesfm_2_5_bizitobs_m30_bizitobs_application_short_auto_arima_oral_sidecar_rerun_metrics.csv,timesfm_2_5_bizitobs_m30_bizitobs_application_short_auto_arima_oral_sidecar_rerun
timesfm,timesfm_2_5_bizitobs_m8,bizitobs_application/10S/short,stress_target,q9_fullgrid,auto_arima,frozen_command_baseline,2,2,120,268.616,1653.93,455.521,2642.01,0.16241,0.172414,0.468101,defined,2,0,0,1.50804,2,0,50,0,1,1,0,1,1,0.00786504,0.95,0.15,0,0,results/raw_forecasts/timesfm_2_5_bizitobs_m8_bizitobs_application_short_auto_arima_oral_sidecar_rerun.csv,results/raw_forecasts/timesfm_2_5_bizitobs_m8_bizitobs_application_short_auto_arima_oral_sidecar_rerun_history_context.csv,results/window_metrics/timesfm_2_5_bizitobs_m8_bizitobs_application_short_auto_arima_oral_sidecar_rerun_metrics.csv,timesfm_2_5_bizitobs_m8_bizitobs_application_short_auto_arima_oral_sidecar_rerun
timesfm,timesfm_2_5_finance_fred,FRED finance stress seed,stress_target,q9_fullgrid,best_simple,target_window_oracle_selection,56,14,560,0.0379679,0.0286233,0.0995332,0.083994,1.32647,1.185,1.15391,defined,14,0,0,0.788082,56,0,0,0,0,14,0,0.00012207031,0.0010375976,0.0425572,0.841071,0.0410714,0,0,results/raw_forecasts/timesfm_2_5_finance_fred_finance_fred_stress_oral_sidecar_rerun.csv,results/raw_forecasts/timesfm_2_5_finance_fred_finance_fred_stress_oral_sidecar_rerun_history_context.csv,results/window_metrics/timesfm_2_5_finance_fred_finance_fred_stress_oral_sidecar_rerun_metrics.csv,timesfm_2_5_finance_fred_finance_fred_stress_oral_sidecar_rerun
