baseline_context_cap,baseline_context_length,baseline_context_values,baseline_family,baseline_mode,baseline_season_length,context_length,context_values,dataset,full_context_length,full_context_values,horizon,model,model_id,origin,run_id,series_id,source_commit,target_values,window_index
2048,72,"[27.0, 16.0, 18.0, 19.0, 21.0, 20.0, 20.0, 23.0, 26.0, 21.0, 17.0, 24.0, 8.0, 1.0, 3.0, 4.0, 7.0, 13.0, 6.0, 2.0, 12.0, 8.0, 5.0, 4.0, 11.0, 8.0, 5.0, 2.0, 3.0, 4.0, 5.0, 6.0, 2.0, 3.0, 5.0, 10.0, 20.0, 23.0, 14.0, 20.0, 23.0, 17.0, 7.0, 13.0, 17.0, 12.0, 15.0, 10.0, 15.0, 9.0, 14.0, 15.0, 12.0, 13.0, 16.0, 13.0, 15.0, 16.0, 21.0, 12.0, 14.0, 15.0, 21.0, 20.0, 12.0, 14.0, 11.0, 15.0, 20.0, 11.0, 11.0, 19.0]",auto_arima,rolling_pre_origin,12,72,"[27.0, 16.0, 18.0, 19.0, 21.0, 20.0, 20.0, 23.0, 26.0, 21.0, 17.0, 24.0, 8.0, 1.0, 3.0, 4.0, 7.0, 13.0, 6.0, 2.0, 12.0, 8.0, 5.0, 4.0, 11.0, 8.0, 5.0, 2.0, 3.0, 4.0, 5.0, 6.0, 2.0, 3.0, 5.0, 10.0, 20.0, 23.0, 14.0, 20.0, 23.0, 17.0, 7.0, 13.0, 17.0, 12.0, 15.0, 10.0, 15.0, 9.0, 14.0, 15.0, 12.0, 13.0, 16.0, 13.0, 15.0, 16.0, 21.0, 12.0, 14.0, 15.0, 21.0, 20.0, 12.0, 14.0, 11.0, 15.0, 20.0, 11.0, 11.0, 19.0]",hospital/M/short,72,"[27.0, 16.0, 18.0, 19.0, 21.0, 20.0, 20.0, 23.0, 26.0, 21.0, 17.0, 24.0, 8.0, 1.0, 3.0, 4.0, 7.0, 13.0, 6.0, 2.0, 12.0, 8.0, 5.0, 4.0, 11.0, 8.0, 5.0, 2.0, 3.0, 4.0, 5.0, 6.0, 2.0, 3.0, 5.0, 10.0, 20.0, 23.0, 14.0, 20.0, 23.0, 17.0, 7.0, 13.0, 17.0, 12.0, 15.0, 10.0, 15.0, 9.0, 14.0, 15.0, 12.0, 13.0, 16.0, 13.0, 15.0, 16.0, 21.0, 12.0, 14.0, 15.0, 21.0, 20.0, 12.0, 14.0, 11.0, 15.0, 20.0, 11.0, 11.0, 19.0]",12,chronos_bolt_small,amazon/chronos-bolt-small,72,external_v1_chronos_hospital_m_short_1783837009,T1,gift-eval:unknown;chronos-forecasting:unknown,"[13.0, 19.0, 18.0, 14.0, 6.0, 15.0, 21.0, 17.0, 14.0, 12.0, 8.0, 17.0]",0
2048,72,"[10.0, 7.0, 14.0, 9.0, 18.0, 14.0, 8.0, 22.0, 13.0, 14.0, 15.0, 6.0, 2.0, 8.0, 4.0, 5.0, 4.0, 4.0, 4.0, 2.0, 4.0, 6.0, 7.0, 6.0, 8.0, 2.0, 5.0, 4.0, 7.0, 6.0, 4.0, 3.0, 5.0, 6.0, 6.0, 7.0, 13.0, 7.0, 15.0, 12.0, 11.0, 10.0, 9.0, 12.0, 9.0, 16.0, 9.0, 10.0, 14.0, 10.0, 9.0, 7.0, 15.0, 9.0, 14.0, 7.0, 8.0, 12.0, 18.0, 19.0, 16.0, 15.0, 16.0, 15.0, 8.0, 19.0, 16.0, 20.0, 11.0, 13.0, 12.0, 8.0]",auto_ets,rolling_pre_origin,12,72,"[10.0, 7.0, 14.0, 9.0, 18.0, 14.0, 8.0, 22.0, 13.0, 14.0, 15.0, 6.0, 2.0, 8.0, 4.0, 5.0, 4.0, 4.0, 4.0, 2.0, 4.0, 6.0, 7.0, 6.0, 8.0, 2.0, 5.0, 4.0, 7.0, 6.0, 4.0, 3.0, 5.0, 6.0, 6.0, 7.0, 13.0, 7.0, 15.0, 12.0, 11.0, 10.0, 9.0, 12.0, 9.0, 16.0, 9.0, 10.0, 14.0, 10.0, 9.0, 7.0, 15.0, 9.0, 14.0, 7.0, 8.0, 12.0, 18.0, 19.0, 16.0, 15.0, 16.0, 15.0, 8.0, 19.0, 16.0, 20.0, 11.0, 13.0, 12.0, 8.0]",hospital/M/short,72,"[10.0, 7.0, 14.0, 9.0, 18.0, 14.0, 8.0, 22.0, 13.0, 14.0, 15.0, 6.0, 2.0, 8.0, 4.0, 5.0, 4.0, 4.0, 4.0, 2.0, 4.0, 6.0, 7.0, 6.0, 8.0, 2.0, 5.0, 4.0, 7.0, 6.0, 4.0, 3.0, 5.0, 6.0, 6.0, 7.0, 13.0, 7.0, 15.0, 12.0, 11.0, 10.0, 9.0, 12.0, 9.0, 16.0, 9.0, 10.0, 14.0, 10.0, 9.0, 7.0, 15.0, 9.0, 14.0, 7.0, 8.0, 12.0, 18.0, 19.0, 16.0, 15.0, 16.0, 15.0, 8.0, 19.0, 16.0, 20.0, 11.0, 13.0, 12.0, 8.0]",12,chronos_bolt_small,amazon/chronos-bolt-small,72,external_v1_chronos_hospital_m_short_1783837009,T2,gift-eval:unknown;chronos-forecasting:unknown,"[13.0, 15.0, 13.0, 9.0, 17.0, 22.0, 11.0, 19.0, 11.0, 12.0, 20.0, 10.0]",0
2048,72,"[194.0, 184.0, 208.0, 190.0, 217.0, 211.0, 212.0, 195.0, 209.0, 181.0, 228.0, 185.0, 73.0, 74.0, 100.0, 91.0, 91.0, 112.0, 125.0, 113.0, 93.0, 91.0, 73.0, 72.0, 77.0, 89.0, 87.0, 81.0, 102.0, 74.0, 107.0, 106.0, 78.0, 100.0, 95.0, 80.0, 183.0, 175.0, 201.0, 210.0, 172.0, 193.0, 206.0, 205.0, 172.0, 182.0, 185.0, 170.0, 197.0, 189.0, 201.0, 208.0, 199.0, 207.0, 204.0, 202.0, 206.0, 207.0, 210.0, 228.0, 194.0, 166.0, 198.0, 225.0, 204.0, 183.0, 205.0, 239.0, 200.0, 191.0, 167.0, 206.0]",seasonal_naive_12,rolling_pre_origin,12,72,"[194.0, 184.0, 208.0, 190.0, 217.0, 211.0, 212.0, 195.0, 209.0, 181.0, 228.0, 185.0, 73.0, 74.0, 100.0, 91.0, 91.0, 112.0, 125.0, 113.0, 93.0, 91.0, 73.0, 72.0, 77.0, 89.0, 87.0, 81.0, 102.0, 74.0, 107.0, 106.0, 78.0, 100.0, 95.0, 80.0, 183.0, 175.0, 201.0, 210.0, 172.0, 193.0, 206.0, 205.0, 172.0, 182.0, 185.0, 170.0, 197.0, 189.0, 201.0, 208.0, 199.0, 207.0, 204.0, 202.0, 206.0, 207.0, 210.0, 228.0, 194.0, 166.0, 198.0, 225.0, 204.0, 183.0, 205.0, 239.0, 200.0, 191.0, 167.0, 206.0]",hospital/M/short,72,"[194.0, 184.0, 208.0, 190.0, 217.0, 211.0, 212.0, 195.0, 209.0, 181.0, 228.0, 185.0, 73.0, 74.0, 100.0, 91.0, 91.0, 112.0, 125.0, 113.0, 93.0, 91.0, 73.0, 72.0, 77.0, 89.0, 87.0, 81.0, 102.0, 74.0, 107.0, 106.0, 78.0, 100.0, 95.0, 80.0, 183.0, 175.0, 201.0, 210.0, 172.0, 193.0, 206.0, 205.0, 172.0, 182.0, 185.0, 170.0, 197.0, 189.0, 201.0, 208.0, 199.0, 207.0, 204.0, 202.0, 206.0, 207.0, 210.0, 228.0, 194.0, 166.0, 198.0, 225.0, 204.0, 183.0, 205.0, 239.0, 200.0, 191.0, 167.0, 206.0]",12,chronos_bolt_small,amazon/chronos-bolt-small,72,external_v1_chronos_hospital_m_short_1783837009,T3,gift-eval:unknown;chronos-forecasting:unknown,"[205.0, 180.0, 196.0, 192.0, 210.0, 198.0, 193.0, 190.0, 186.0, 181.0, 198.0, 169.0]",0
2048,72,"[77.0, 76.0, 89.0, 73.0, 80.0, 85.0, 81.0, 81.0, 77.0, 93.0, 71.0, 83.0, 45.0, 32.0, 44.0, 44.0, 57.0, 60.0, 65.0, 48.0, 58.0, 52.0, 51.0, 60.0, 79.0, 76.0, 62.0, 75.0, 90.0, 84.0, 86.0, 145.0, 109.0, 110.0, 118.0, 55.0, 116.0, 154.0, 133.0, 138.0, 158.0, 146.0, 138.0, 167.0, 103.0, 119.0, 117.0, 104.0, 110.0, 101.0, 113.0, 107.0, 124.0, 133.0, 124.0, 128.0, 131.0, 127.0, 115.0, 131.0, 116.0, 124.0, 116.0, 97.0, 116.0, 133.0, 122.0, 95.0, 137.0, 131.0, 122.0, 129.0]",seasonal_naive_12,rolling_pre_origin,12,72,"[77.0, 76.0, 89.0, 73.0, 80.0, 85.0, 81.0, 81.0, 77.0, 93.0, 71.0, 83.0, 45.0, 32.0, 44.0, 44.0, 57.0, 60.0, 65.0, 48.0, 58.0, 52.0, 51.0, 60.0, 79.0, 76.0, 62.0, 75.0, 90.0, 84.0, 86.0, 145.0, 109.0, 110.0, 118.0, 55.0, 116.0, 154.0, 133.0, 138.0, 158.0, 146.0, 138.0, 167.0, 103.0, 119.0, 117.0, 104.0, 110.0, 101.0, 113.0, 107.0, 124.0, 133.0, 124.0, 128.0, 131.0, 127.0, 115.0, 131.0, 116.0, 124.0, 116.0, 97.0, 116.0, 133.0, 122.0, 95.0, 137.0, 131.0, 122.0, 129.0]",hospital/M/short,72,"[77.0, 76.0, 89.0, 73.0, 80.0, 85.0, 81.0, 81.0, 77.0, 93.0, 71.0, 83.0, 45.0, 32.0, 44.0, 44.0, 57.0, 60.0, 65.0, 48.0, 58.0, 52.0, 51.0, 60.0, 79.0, 76.0, 62.0, 75.0, 90.0, 84.0, 86.0, 145.0, 109.0, 110.0, 118.0, 55.0, 116.0, 154.0, 133.0, 138.0, 158.0, 146.0, 138.0, 167.0, 103.0, 119.0, 117.0, 104.0, 110.0, 101.0, 113.0, 107.0, 124.0, 133.0, 124.0, 128.0, 131.0, 127.0, 115.0, 131.0, 116.0, 124.0, 116.0, 97.0, 116.0, 133.0, 122.0, 95.0, 137.0, 131.0, 122.0, 129.0]",12,chronos_bolt_small,amazon/chronos-bolt-small,72,external_v1_chronos_hospital_m_short_1783837009,T4,gift-eval:unknown;chronos-forecasting:unknown,"[142.0, 115.0, 105.0, 67.0, 102.0, 90.0, 93.0, 103.0, 103.0, 82.0, 76.0, 81.0]",0
2048,72,"[21.0, 15.0, 8.0, 15.0, 18.0, 14.0, 17.0, 25.0, 10.0, 20.0, 16.0, 16.0, 23.0, 24.0, 17.0, 27.0, 22.0, 18.0, 14.0, 31.0, 17.0, 15.0, 14.0, 17.0, 8.0, 16.0, 21.0, 12.0, 25.0, 18.0, 21.0, 29.0, 19.0, 22.0, 16.0, 27.0, 12.0, 20.0, 13.0, 26.0, 23.0, 15.0, 16.0, 8.0, 10.0, 12.0, 17.0, 10.0, 11.0, 12.0, 16.0, 12.0, 13.0, 14.0, 17.0, 14.0, 10.0, 19.0, 14.0, 10.0, 12.0, 19.0, 11.0, 18.0, 22.0, 18.0, 15.0, 20.0, 17.0, 20.0, 12.0, 21.0]",auto_ets,rolling_pre_origin,12,72,"[21.0, 15.0, 8.0, 15.0, 18.0, 14.0, 17.0, 25.0, 10.0, 20.0, 16.0, 16.0, 23.0, 24.0, 17.0, 27.0, 22.0, 18.0, 14.0, 31.0, 17.0, 15.0, 14.0, 17.0, 8.0, 16.0, 21.0, 12.0, 25.0, 18.0, 21.0, 29.0, 19.0, 22.0, 16.0, 27.0, 12.0, 20.0, 13.0, 26.0, 23.0, 15.0, 16.0, 8.0, 10.0, 12.0, 17.0, 10.0, 11.0, 12.0, 16.0, 12.0, 13.0, 14.0, 17.0, 14.0, 10.0, 19.0, 14.0, 10.0, 12.0, 19.0, 11.0, 18.0, 22.0, 18.0, 15.0, 20.0, 17.0, 20.0, 12.0, 21.0]",hospital/M/short,72,"[21.0, 15.0, 8.0, 15.0, 18.0, 14.0, 17.0, 25.0, 10.0, 20.0, 16.0, 16.0, 23.0, 24.0, 17.0, 27.0, 22.0, 18.0, 14.0, 31.0, 17.0, 15.0, 14.0, 17.0, 8.0, 16.0, 21.0, 12.0, 25.0, 18.0, 21.0, 29.0, 19.0, 22.0, 16.0, 27.0, 12.0, 20.0, 13.0, 26.0, 23.0, 15.0, 16.0, 8.0, 10.0, 12.0, 17.0, 10.0, 11.0, 12.0, 16.0, 12.0, 13.0, 14.0, 17.0, 14.0, 10.0, 19.0, 14.0, 10.0, 12.0, 19.0, 11.0, 18.0, 22.0, 18.0, 15.0, 20.0, 17.0, 20.0, 12.0, 21.0]",12,chronos_bolt_small,amazon/chronos-bolt-small,72,external_v1_chronos_hospital_m_short_1783837009,T5,gift-eval:unknown;chronos-forecasting:unknown,"[15.0, 6.0, 10.0, 17.0, 18.0, 13.0, 23.0, 14.0, 22.0, 26.0, 24.0, 19.0]",0
2048,72,"[13.0, 11.0, 8.0, 11.0, 16.0, 10.0, 12.0, 11.0, 13.0, 10.0, 8.0, 6.0, 22.0, 10.0, 11.0, 21.0, 18.0, 16.0, 9.0, 9.0, 9.0, 3.0, 8.0, 12.0, 12.0, 11.0, 12.0, 10.0, 8.0, 20.0, 11.0, 15.0, 6.0, 7.0, 9.0, 17.0, 14.0, 6.0, 7.0, 15.0, 11.0, 9.0, 10.0, 2.0, 10.0, 17.0, 10.0, 9.0, 11.0, 8.0, 9.0, 19.0, 15.0, 13.0, 12.0, 14.0, 12.0, 12.0, 8.0, 17.0, 10.0, 11.0, 14.0, 11.0, 15.0, 10.0, 12.0, 12.0, 15.0, 21.0, 15.0, 14.0]",auto_arima,rolling_pre_origin,12,72,"[13.0, 11.0, 8.0, 11.0, 16.0, 10.0, 12.0, 11.0, 13.0, 10.0, 8.0, 6.0, 22.0, 10.0, 11.0, 21.0, 18.0, 16.0, 9.0, 9.0, 9.0, 3.0, 8.0, 12.0, 12.0, 11.0, 12.0, 10.0, 8.0, 20.0, 11.0, 15.0, 6.0, 7.0, 9.0, 17.0, 14.0, 6.0, 7.0, 15.0, 11.0, 9.0, 10.0, 2.0, 10.0, 17.0, 10.0, 9.0, 11.0, 8.0, 9.0, 19.0, 15.0, 13.0, 12.0, 14.0, 12.0, 12.0, 8.0, 17.0, 10.0, 11.0, 14.0, 11.0, 15.0, 10.0, 12.0, 12.0, 15.0, 21.0, 15.0, 14.0]",hospital/M/short,72,"[13.0, 11.0, 8.0, 11.0, 16.0, 10.0, 12.0, 11.0, 13.0, 10.0, 8.0, 6.0, 22.0, 10.0, 11.0, 21.0, 18.0, 16.0, 9.0, 9.0, 9.0, 3.0, 8.0, 12.0, 12.0, 11.0, 12.0, 10.0, 8.0, 20.0, 11.0, 15.0, 6.0, 7.0, 9.0, 17.0, 14.0, 6.0, 7.0, 15.0, 11.0, 9.0, 10.0, 2.0, 10.0, 17.0, 10.0, 9.0, 11.0, 8.0, 9.0, 19.0, 15.0, 13.0, 12.0, 14.0, 12.0, 12.0, 8.0, 17.0, 10.0, 11.0, 14.0, 11.0, 15.0, 10.0, 12.0, 12.0, 15.0, 21.0, 15.0, 14.0]",12,chronos_bolt_small,amazon/chronos-bolt-small,72,external_v1_chronos_hospital_m_short_1783837009,T6,gift-eval:unknown;chronos-forecasting:unknown,"[8.0, 9.0, 12.0, 18.0, 8.0, 11.0, 15.0, 13.0, 13.0, 20.0, 6.0, 9.0]",0
2048,72,"[11.0, 12.0, 7.0, 7.0, 10.0, 9.0, 12.0, 16.0, 8.0, 7.0, 12.0, 11.0, 14.0, 11.0, 8.0, 12.0, 10.0, 13.0, 10.0, 9.0, 19.0, 14.0, 11.0, 10.0, 15.0, 9.0, 15.0, 9.0, 10.0, 16.0, 7.0, 17.0, 9.0, 14.0, 10.0, 15.0, 9.0, 3.0, 11.0, 12.0, 8.0, 5.0, 11.0, 8.0, 7.0, 8.0, 12.0, 10.0, 9.0, 19.0, 17.0, 9.0, 14.0, 10.0, 6.0, 9.0, 15.0, 15.0, 13.0, 11.0, 9.0, 14.0, 12.0, 14.0, 8.0, 12.0, 11.0, 5.0, 11.0, 10.0, 12.0, 7.0]",auto_ets,rolling_pre_origin,12,72,"[11.0, 12.0, 7.0, 7.0, 10.0, 9.0, 12.0, 16.0, 8.0, 7.0, 12.0, 11.0, 14.0, 11.0, 8.0, 12.0, 10.0, 13.0, 10.0, 9.0, 19.0, 14.0, 11.0, 10.0, 15.0, 9.0, 15.0, 9.0, 10.0, 16.0, 7.0, 17.0, 9.0, 14.0, 10.0, 15.0, 9.0, 3.0, 11.0, 12.0, 8.0, 5.0, 11.0, 8.0, 7.0, 8.0, 12.0, 10.0, 9.0, 19.0, 17.0, 9.0, 14.0, 10.0, 6.0, 9.0, 15.0, 15.0, 13.0, 11.0, 9.0, 14.0, 12.0, 14.0, 8.0, 12.0, 11.0, 5.0, 11.0, 10.0, 12.0, 7.0]",hospital/M/short,72,"[11.0, 12.0, 7.0, 7.0, 10.0, 9.0, 12.0, 16.0, 8.0, 7.0, 12.0, 11.0, 14.0, 11.0, 8.0, 12.0, 10.0, 13.0, 10.0, 9.0, 19.0, 14.0, 11.0, 10.0, 15.0, 9.0, 15.0, 9.0, 10.0, 16.0, 7.0, 17.0, 9.0, 14.0, 10.0, 15.0, 9.0, 3.0, 11.0, 12.0, 8.0, 5.0, 11.0, 8.0, 7.0, 8.0, 12.0, 10.0, 9.0, 19.0, 17.0, 9.0, 14.0, 10.0, 6.0, 9.0, 15.0, 15.0, 13.0, 11.0, 9.0, 14.0, 12.0, 14.0, 8.0, 12.0, 11.0, 5.0, 11.0, 10.0, 12.0, 7.0]",12,chronos_bolt_small,amazon/chronos-bolt-small,72,external_v1_chronos_hospital_m_short_1783837009,T7,gift-eval:unknown;chronos-forecasting:unknown,"[10.0, 9.0, 9.0, 7.0, 5.0, 12.0, 7.0, 15.0, 15.0, 4.0, 14.0, 8.0]",0
